,weights_in
0,-0.1595372955454802
1,-0.3319761276014837
2,-0.2341676308718839
3,-0.31544179774331416
4,-0.22637213180408486
5,0.08219655989264543
6,-0.48988945870400297
7,0.3339477627874538
8,0.4752805899344834
9,-0.11390462041220596
10,0.4479524901345879
11,0.39661905190815877
12,-0.478564185463867
13,0.0004216249588024698
14,-0.8629473369183485
15,0.5859046046422771
16,-0.6744797406379801
17,-0.4646510068622779
18,-0.8389199913071175
19,0.02352237915157623
20,-0.4210211522778544
21,0.34272425242765026
22,0.11165514294572501
23,0.1998618297527219
24,0.983529838752949
25,-0.11843509696869237
26,-0.7748768565334928
27,-0.7941434413694737
28,0.8853968196427573
29,0.07592965286051616
30,-0.18651236509571326
31,0.18853304059412898
32,0.6326398980930973
33,0.09569275634057019
34,0.08695546146017127
35,0.8933958637847705
36,0.09258564950705654
37,-0.04483214627225716
38,-0.046306339723708824
39,0.10981078495941782
40,0.1623053703358537
41,0.6554437704853076
42,0.42656764705076217
43,0.17544748061354612
44,-0.29805231302165613
45,-0.02891949245863191
46,-0.5181505424721033
47,-0.18131908105471992
48,-0.40674387265130557
49,-0.5651497901205556
50,0.14756484463277217
51,0.49452238646546326
52,-0.22628760037698886
53,0.050868587979153196
54,-0.1098913732522125
55,-0.3102698112153285
56,0.5686283930033826
57,-0.2481299421200793
58,-0.3017084780337282
59,-0.06195837173404656
60,-0.27573323657125504
61,-1.0078449066977317
62,-0.897640367208006
63,-0.9191766353902558
64,0.26374419183879216
65,-0.15616329399368742
66,0.20763783043104087
67,-0.12740778726870594
68,-0.10759674729127652
69,0.09924840782196177
70,-0.7254774869822121
71,-0.8014090627540067
72,-0.1623378278423766
73,0.8475550367595546
74,-0.7001665351953594
75,0.23867350277928087
76,0.7357724495772252
77,-0.27964371807047883
78,-0.3787878042748688
79,0.09407618716556213
80,0.5004689350575189
81,-0.1899666969693975
82,0.5814635343870599
83,-0.04462631043424233
84,0.5244778582802573
85,0.2793040012673932
86,0.5730298576808693
87,0.04828924649118294
88,0.12435708526329567
89,-0.19762736164381914
90,-0.31557878161506864
91,0.15513683314772755
92,0.7516014490597781
93,0.2750477739939434
94,-0.2917453512760704
95,0.2748933443755599
96,-0.38093938631952895
97,-0.07492270699489939
98,-0.1498893071625137
99,-0.7435133304222915
100,-0.24074783772238412
101,-0.31028157363193204
102,0.15786572264874915
103,-0.4831249647948807
104,-0.7340363758545662
105,0.10038719881919382
106,-0.583365892495317
107,0.3591339616100353
108,-0.45331166839037523
109,-0.20665674458511402
110,-0.008081907244142995
111,-0.8903676148884235
112,-0.2861630901863059
113,-0.2251313282417541
114,-0.5482808042142674
115,-0.4430727231164079
116,0.330773413868611
117,-0.03949840050218027
118,-0.2226409257721028
119,-0.5231961377182438
120,-0.026773464542783034
121,-0.8580347362587759
122,0.17884813401815639
123,-0.34485817161087995
124,0.6072728779241384
125,0.03912478132751011
126,0.22012321226383155
127,-0.007908377765927625
128,-0.16316229602982568
129,-0.31840332630510304
130,-0.038140494665126624
131,-0.6277056298689975
132,-0.28061791380118606
133,0.4835839067944544
134,0.05010278862647338
135,-0.18898264428342054
136,-0.12191483525446696
137,-0.2772521442719116
138,0.18463919267702306
139,0.02090014605827808
140,0.9336779272295633
141,-0.7189225797023571
142,0.40467698536091634
143,-0.28242007830266735
144,-0.013878095856552378
145,-0.4513264598304969
146,-0.1813646787719357
147,-0.08233240335889656
148,-0.060396334701070836
149,-0.2482164457177697
150,-0.2169731806096359
151,0.1785364393543904
152,0.4205122876898149
153,-0.0464752934965822
154,-0.23745187868949605
155,-0.2597709404090876
156,0.2828864712755761
157,0.38779697933054375
158,-0.15057198370448852
159,0.41141643595899746
160,-0.29612537775622544
161,-0.30269323044268487
162,0.15317822997865668
163,0.2692994190911713
164,0.023783224457597882
165,-0.045080674311021536
166,0.6639825279919089
167,0.2123509550272113
168,0.4677714914202422
169,-0.06663085032827981
170,-0.24175807460543702
171,0.26966183154146645
172,-0.26693729673888356
173,0.7430173186014203
174,0.04670404539042207
175,0.22546214107314466
176,0.3255794885285258
177,-0.10968770114734418
178,0.4746174602787845
179,-0.29842729898714826
180,-0.4285938512423811
181,0.5011779472882285
182,0.1265970547929613
183,-0.22638200352871057
184,-0.2295894449115008
185,-0.22950355048783228
186,-0.45710858279211175
187,-0.00694575076353298
188,-0.2514688328844218
189,-1.0965470007925342
190,-0.655801315071219
191,-0.12008043966847173
192,-0.36425770091605186
193,0.2511732801188153
194,1.011720626253204
195,0.5724650191131213
196,0.2547577620303806
197,-0.8185634014914883
198,-0.47780807342960385
199,-0.003307543907078498
200,-0.3393767611454265
201,-0.3114205547371509
202,0.5900133037839675
