grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
CM020230,1/10/2017 12:02,33.0000000000,3.5233330000,10.9728200000,7.8871430000,7.8654390000,23.3508800000,27.5000000000
CM020230,3/8/2017 20:39,29.0000000000,3.3590910000,10.3588200000,7.6342200000,8.4150200000,23.3547600000,27.5000000000
CM020230,1/9/2017 11:30,29.0000000000,3.3583330000,10.8824100000,7.7263820000,8.3843120000,23.3696500000,27.5000000000
CM020230,1/10/2017 17:02,30.0000000000,3.4366670000,10.3132900000,8.5039420000,7.4171420000,23.3730700000,27.5000000000
CM020230,4/11/2017 4:20,31.0000000000,3.5900000000,10.6292900000,7.7263820000,7.8266500000,23.3730700000,27.5000000000
CM020230,1/23/2017 6:41,30.0000000000,3.5172730000,9.8377210000,7.6127460000,7.1929690000,23.3758000000,27.5000000000
CM020230,1/10/2017 17:40,29.0000000000,3.3233330000,9.9945170000,8.1135220000,7.7083390000,23.3864100000,27.5000000000
CM020230,2/5/2017 5:34,30.0000000000,3.5091670000,10.7459400000,7.8773010000,7.7018800000,23.3867200000,27.5000000000
CM020230,1/11/2017 18:24,31.0000000000,3.3925000000,9.7214460000,8.1266450000,7.4144530000,23.3882700000,27.5000000000
CM020230,1/11/2017 20:21,31.0000000000,3.3591670000,10.7575700000,8.4120780000,8.1456570000,23.3882700000,27.5000000000
CM020230,4/10/2017 22:34,34.0000000000,3.4908330000,10.7876500000,7.7591910000,7.5385370000,23.3935500000,27.5000000000
CM020230,2/4/2017 12:25,31.0000000000,3.5275000000,10.4542200000,7.9593220000,7.8635310000,23.4020800000,27.5000000000
CM020230,1/24/2017 11:19,31.0000000000,3.4227270000,10.5258200000,7.9026530000,8.3558840000,23.4124800000,27.5000000000
CM020230,2/5/2017 6:41,31.0000000000,3.4583330000,10.5564200000,7.9461980000,8.0116180000,23.4430500000,27.5000000000
CM020230,1/23/2017 16:56,32.0000000000,3.5436360000,10.4062500000,7.7201190000,8.1095010000,23.4441300000,27.5000000000
CM020230,1/23/2017 22:40,30.0000000000,3.4541670000,10.3187700000,7.9790070000,7.8050700000,23.4481700000,27.5000000000
CM020230,1/9/2017 14:10,29.0000000000,3.3475000000,10.9324000000,7.7624710000,7.9959600000,23.4515800000,27.5000000000
CM020230,2/4/2017 11:06,31.0000000000,3.4716670000,10.9850900000,8.0577470000,8.4013230000,23.4571700000,27.5000000000
CM020230,2/4/2017 17:02,31.0000000000,3.4525000000,10.1442100000,8.5597160000,7.6900130000,23.4584100000,27.5000000000
CM020230,1/23/2017 20:07,30.0000000000,3.4450000000,10.0584500000,7.5918670000,8.0677520000,23.4686500000,27.5000000000
CM020230,1/23/2017 9:53,32.0000000000,3.5400000000,10.6182300000,7.5984290000,7.6908300000,23.4737700000,27.5000000000
CM020230,1/10/2017 23:16,32.0000000000,3.3325000000,10.4303500000,8.3956740000,8.0745110000,23.4737700000,27.5000000000
CM020230,1/10/2017 20:09,32.0000000000,3.3700000000,10.6055000000,8.1332060000,7.7468590000,23.4754800000,27.5000000000
CM020230,4/11/2017 15:33,30.0000000000,3.6833330000,11.2787200000,7.6181140000,7.8299560000,23.4806000000,27.5000000000
CM020230,1/10/2017 11:24,32.0000000000,3.4358330000,10.6554600000,8.0249390000,7.5383240000,23.4891300000,27.5000000000
CM020230,1/23/2017 7:19,31.0000000000,3.5063640000,10.1131900000,7.7308560000,7.8642600000,23.4906800000,27.5000000000
CM020230,1/10/2017 19:32,32.0000000000,3.3825000000,10.6626500000,8.3923930000,7.6849280000,23.4908400000,27.5000000000
CM020230,2/4/2017 8:11,30.0000000000,3.4658330000,10.8027400000,8.0282190000,7.9779450000,23.4962700000,27.5000000000
CM020230,1/9/2017 22:12,31.0000000000,3.3250000000,10.2519200000,7.9101090000,7.7987760000,23.5027800000,27.5000000000
CM020230,1/23/2017 20:45,30.0000000000,3.4541670000,9.7480400000,7.7362250000,8.0868960000,23.5096100000,27.5000000000
CM020230,1/12/2017 3:45,31.0000000000,3.5350000000,10.8722700000,7.8412120000,8.0860120000,23.5147300000,27.5000000000
CM020230,1/10/2017 22:01,31.0000000000,3.3308330000,10.1014800000,7.9133900000,7.8799600000,23.5148900000,27.5000000000
CM020230,4/11/2017 13:17,30.0000000000,3.5208330000,10.6106000000,7.7526290000,7.8678310000,23.5181500000,27.5000000000
CM020230,2/4/2017 11:45,29.0000000000,3.6125000000,10.9568000000,7.9560410000,8.1097060000,23.5266800000,27.5000000000
CM020230,1/11/2017 21:39,33.0000000000,3.5208330000,10.3945000000,8.0052540000,7.0552590000,23.5297800000,27.5000000000
CM020230,1/10/2017 15:08,32.0000000000,3.4258330000,10.0960300000,7.9133900000,7.6678300000,23.5335100000,27.5000000000
CM020230,2/5/2017 7:21,31.0000000000,3.5241670000,10.3954000000,7.6574850000,7.1583840000,23.5417000000,27.5000000000
CM020230,1/10/2017 21:24,32.0000000000,3.3491670000,10.5390800000,8.1135220000,8.0314480000,23.5420400000,27.5000000000
CM020230,1/24/2017 1:50,29.0000000000,3.4408330000,10.9537900000,7.7591910000,8.1304870000,23.5454600000,27.5000000000
CM020230,2/4/2017 15:02,30.0000000000,3.3816670000,10.0214600000,8.1889810000,8.3568440000,23.5471600000,27.5000000000
CM020230,2/4/2017 17:41,31.0000000000,3.4266670000,10.6489200000,7.7865310000,8.2098840000,23.5517100000,27.5000000000
CM020230,1/24/2017 3:37,30.0000000000,3.4858330000,10.2059300000,7.9133900000,7.8245430000,23.5642300000,27.5000000000
CM020230,2/4/2017 14:23,31.0000000000,3.4683330000,10.0894300000,7.7559100000,8.0316060000,23.5727700000,27.5000000000
CM020230,2/4/2017 15:42,31.0000000000,3.4650000000,10.1349300000,7.7395050000,7.8608950000,23.5761800000,27.5000000000
CM020230,1/11/2017 2:25,31.0000000000,3.3900000000,10.8807700000,8.0413430000,7.5313880000,23.5795900000,27.5000000000
CM020230,2/3/2017 21:08,37.0000000000,3.4741670000,11.6687000000,7.8248070000,8.6724650000,23.5881300000,27.5000000000
CM020230,4/11/2017 0:28,33.0000000000,3.5350000000,10.9967700000,7.7427860000,7.8148980000,23.6000700000,27.5000000000
CM020230,4/10/2017 18:42,31.0000000000,3.4808330000,11.1174800000,7.8740200000,7.8262720000,23.6005400000,27.5000000000
CM020230,1/23/2017 10:31,31.0000000000,3.5200000000,10.5483000000,7.7093820000,8.0618750000,23.6061200000,27.5000000000
CM020230,2/5/2017 9:22,31.0000000000,3.5941670000,11.3721800000,7.4540720000,8.3426690000,23.6069000000,27.5000000000
CM020230,1/10/2017 9:11,31.0000000000,3.4858330000,10.4727800000,8.1299260000,7.4672710000,23.6079900000,27.5000000000
CM020230,1/23/2017 23:56,31.0000000000,3.5525000000,10.3136800000,7.7657520000,7.6697940000,23.6154300000,27.5000000000
CM020230,1/9/2017 21:33,31.0000000000,3.4150000000,10.0867200000,8.0675900000,7.8344880000,23.6205600000,27.5000000000
CM020230,1/11/2017 1:48,31.0000000000,3.4200000000,10.7651200000,8.1200830000,7.5950810000,23.6308000000,27.5000000000
CM020230,1/10/2017 20:46,33.0000000000,3.3766670000,10.9463200000,7.9461980000,7.9431510000,23.6377800000,27.5000000000
CM020230,1/9/2017 20:16,31.0000000000,3.3791670000,10.4696600000,8.1430490000,7.7461000000,23.6694300000,27.5000000000
CM020230,1/10/2017 5:21,33.0000000000,3.5025000000,10.9109400000,7.9691640000,7.3026510000,23.6734700000,27.5000000000
CM020230,1/9/2017 22:50,33.0000000000,3.4508330000,10.4232000000,7.9232330000,7.8086810000,23.6734700000,27.5000000000
CM020230,2/4/2017 6:46,31.0000000000,3.5375000000,10.3497500000,7.7854370000,7.3481070000,23.6750200000,27.5000000000
CM020230,2/5/2017 8:00,29.0000000000,3.5400000000,11.4251200000,7.7165390000,8.0909920000,23.6861900000,27.5000000000
CM020230,2/5/2017 3:36,30.0000000000,3.5008330000,11.0489800000,7.8740200000,8.0842510000,23.7127200000,27.5000000000
CM020230,1/24/2017 7:29,30.0000000000,3.4227270000,10.6406100000,8.0350800000,8.2503140000,23.7178400000,27.5000000000
CM020230,1/9/2017 17:03,32.0000000000,3.4108330000,11.0331800000,8.0741510000,7.9608990000,23.7215700000,27.5000000000
CM020230,1/10/2017 3:22,35.0000000000,3.4775000000,10.9344800000,7.7887180000,8.1915020000,23.7246700000,27.5000000000
CM020230,2/4/2017 16:22,31.0000000000,3.3316670000,10.1982700000,7.7657520000,8.4448940000,23.7321800000,27.5000000000
CM020230,1/10/2017 8:34,30.0000000000,3.3916670000,10.1385300000,8.0905550000,6.3153830000,23.7424200000,27.5000000000
CM020230,1/10/2017 18:17,31.0000000000,3.3283330000,10.3200200000,8.0413430000,7.8906000000,23.7451500000,27.5000000000
CM020230,1/10/2017 13:54,31.0000000000,3.3766670000,10.4647800000,7.9888500000,8.1263820000,23.7571000000,27.5000000000
CM020230,1/10/2017 16:24,30.0000000000,3.3433330000,10.4558800000,8.1758580000,8.4769000000,23.7827000000,27.5000000000
CM020230,2/5/2017 8:41,32.0000000000,3.5433330000,11.5244900000,7.7427860000,8.2630000000,23.7963600000,27.5000000000
CM020230,1/10/2017 12:39,33.0000000000,3.4791670000,11.1392800000,8.0446230000,7.7046600000,23.8031800000,27.5000000000
CM020230,1/10/2017 13:17,33.0000000000,3.4550000000,10.4414900000,8.2349130000,7.7880250000,23.8031800000,27.5000000000
CM020230,1/10/2017 6:00,36.0000000000,3.4641670000,10.6964100000,8.0216580000,6.8028640000,23.8035000000,27.5000000000
CM020230,1/9/2017 20:54,30.0000000000,3.3041670000,10.2203300000,8.3956740000,7.7800480000,23.8441500000,27.5000000000
CM020230,1/9/2017 19:38,32.0000000000,3.2841670000,9.9981110000,8.1233630000,7.8345050000,23.8646300000,27.5000000000
CM020230,1/10/2017 9:49,30.0000000000,3.5475000000,11.4035200000,8.1496110000,7.7973860000,23.8705300000,27.5000000000
CM020230,1/10/2017 14:31,31.0000000000,3.4175000000,10.7883600000,8.1824190000,8.0460600000,23.9226600000,27.5000000000
CM020230,1/10/2017 6:39,34.0000000000,3.5166670000,10.8815800000,8.1725770000,7.6729890000,23.9687400000,27.5000000000
CM020230,1/9/2017 18:20,32.0000000000,3.3550000000,10.8203300000,8.1168020000,7.6279800000,24.0319000000,27.5000000000
CM020230,3/7/2017 15:53,30.0000000000,3.2833330000,10.7170400000,9.4291390000,6.5784810000,24.0894400000,27.5000000000
CM020230,1/10/2017 7:18,31.0000000000,3.4527270000,10.3235600000,8.2426670000,7.5746410000,24.0976900000,27.5000000000
CM020230,1/9/2017 17:42,31.0000000000,3.4091670000,10.9034000000,8.9042040000,8.1911460000,24.1701500000,27.5000000000
CM020230,3/9/2017 5:44,36.0000000000,3.5500000000,11.0375200000,8.0413430000,7.9174340000,24.2857500000,27.5000000000
CM020230,1/10/2017 4:42,32.0000000000,3.6350000000,11.0250300000,8.1397690000,6.7937790000,24.3211200000,27.5000000000
CM020230,1/10/2017 4:03,35.0000000000,3.5133330000,11.0209000000,8.0150970000,8.0143220000,24.3305900000,27.5000000000
CM020230,3/9/2017 3:47,29.0000000000,3.4191670000,10.7589900000,8.3694270000,7.3890550000,24.6743400000,27.5000000000
CM020230,2/4/2017 7:29,33.0000000000,3.5325000000,10.2452000000,8.1496110000,6.0517770000,24.7624100000,27.5000000000
CM020230,2/4/2017 13:44,29.0000000000,3.4858330000,10.5846600000,7.8707390000,7.8204600000,24.7996500000,27.5000000000
CM020230,2/4/2017 13:04,30.0000000000,3.4825000000,9.2825260000,7.6902930000,5.7405100000,25.6943300000,27.5000000000
CM020230,3/9/2017 1:32,29.0000000000,3.5025000000,10.2809600000,7.9888500000,5.5430250000,26.1449300000,27.5000000000
NL050350,1/20/2017 2:29,71.0000000000,4.7250000000,21.0555000000,9.5111600000,9.0371250000,26.2903500000,69.5000000000
CM020230,2/4/2017 23:37,30.0000000000,3.5550000000,13.0318200000,8.0610280000,8.2154230000,26.9867300000,27.5000000000
CM020230,2/4/2017 8:53,31.0000000000,3.4641670000,10.2409300000,7.6312380000,6.5168870000,26.9874700000,27.5000000000
NL050350,4/16/2017 0:35,72.0000000000,4.6975000000,19.5115500000,9.4685090000,8.3173420000,27.5069600000,69.5000000000
NL050350,4/16/2017 4:08,72.0000000000,4.7858330000,23.6197900000,9.4553850000,8.5394090000,27.7834700000,69.5000000000
NL050350,4/16/2017 8:49,70.0000000000,4.2841670000,19.6719600000,9.4357000000,8.2432550000,28.4959400000,69.5000000000
CM020230,3/7/2017 13:49,28.0000000000,3.2633330000,14.1302500000,8.9009240000,8.3912870000,29.1711000000,27.5000000000
CM020230,1/11/2017 5:27,34.0000000000,3.4450000000,8.7600310000,8.0347810000,4.7967900000,29.8987800000,27.5000000000
NL050350,1/20/2017 4:12,73.0000000000,4.6366670000,20.1726300000,9.7080110000,7.5755820000,29.9442900000,69.5000000000
CM020230,1/11/2017 3:05,32.0000000000,3.5391670000,8.4899080000,8.0774330000,3.6645900000,30.5075400000,27.5000000000
NL050310,3/25/2017 18:45,63.0000000000,4.5841670000,16.7806100000,8.0708700000,6.3624180000,31.1663700000,59.5000000000
NL050310,2/20/2017 13:21,64.0000000000,4.5658340000,16.6498800000,8.2972490000,6.7833070000,31.2636500000,59.5000000000
NL050350,1/7/2017 15:49,71.0000000000,4.2750000000,18.5940800000,9.8786140000,6.9135300000,31.5879500000,69.5000000000
NL050310,2/20/2017 11:22,65.0000000000,4.6683340000,16.4020100000,8.3202140000,6.1781820000,31.6272000000,59.5000000000
NL050310,4/9/2017 20:14,61.0000000000,4.4975000000,14.5003800000,8.5859620000,6.3868980000,31.6954800000,59.5000000000
NL050310,3/25/2017 22:57,62.0000000000,4.3533330000,16.1580500000,8.2742820000,6.0972530000,31.6971800000,59.5000000000
NL050310,4/4/2017 22:44,61.0000000000,4.7716670000,16.4230300000,8.5859620000,6.1953130000,31.7262000000,59.5000000000
NL050310,3/25/2017 14:34,61.0000000000,4.5533330000,17.5687000000,8.3202140000,6.4104020000,31.7466800000,59.5000000000
NL050310,4/4/2017 19:22,71.0000000000,5.0158330000,18.2776500000,8.3956740000,5.6823790000,31.7637500000,59.5000000000
NL050310,3/25/2017 16:39,64.0000000000,4.5433340000,16.7701000000,8.3038100000,6.4970120000,31.7774000000,59.5000000000
