,weights_out
0,0.008737348890232317
1,0.015731454768931237
2,0.005012337032245538
3,-0.015688178208691228
4,-0.013284846297405704
5,0.0002233533119339979
6,-0.0007186306985849425
7,0.007167292226864549
8,-0.0021767085129192937
9,0.01519534674880997
10,0.01376352908257911
11,-0.012311948355225907
12,-0.008027042873554357
13,0.005897683960596073
14,0.013891743532574321
15,0.021391543149118758
16,0.010425662558015643
17,-0.002658003734119224
18,0.007299275587146233
19,0.023533901061340942
20,0.005329924129872631
21,-0.0008333559549365759
22,-0.0035354215017222223
23,0.01743839505759253
24,-0.005957644927569199
25,-0.006971936583861026
26,-0.017645769629973915
27,0.01831502159836279
28,0.0033819944691260233
29,0.00019340478740374647
30,-0.01441144573172436
31,0.0033888598556652666
32,0.02997781326145759
33,0.020698690675363864
34,0.03356685346612213
35,0.01815151002428662
36,-0.02350386469659462
37,-0.01781473137959141
38,-0.022825818792082887
39,0.007235518373879958
40,0.0029665473438727267
41,0.015641361139464544
42,-0.015560267557477537
43,-0.020766363480549117
44,-0.01379364933510727
45,-0.03651757201645783
46,0.02259258483349737
47,0.0028440791289269145
48,-0.035037924804554116
49,0.0035129062870751667
50,-0.016354928067157444
51,-0.005539540948853212
52,0.020739409751122755
53,-0.009436084675757144
54,0.008289054340598767
55,-0.03024440756214348
56,0.015793324960722308
57,0.018630464580563205
58,-0.013446600714559847
59,-0.006609050854455611
60,-0.022852730915289828
61,0.015586623348577232
62,-0.01935699282825632
63,-0.0016677157349562124
64,0.009788573220645235
65,0.006419383045417832
66,-0.016589553977967332
67,0.00460607299583886
68,-0.008607924671763656
69,0.021555660986349173
70,0.027186478722097198
71,0.02024623738441444
72,-0.0142295257905109
73,-0.012515196578995585
74,-0.036536988589259134
75,-0.005013109769881269
76,-0.0026111824910824174
77,0.013167956392285261
78,0.043980376244812165
79,-0.02841528454284576
80,0.011370822027525294
81,0.011660447214027495
82,-0.006847399668272801
83,-0.007856869246630442
84,0.05802888766204976
85,-0.02059969040631381
86,-0.03735672594742701
87,0.043138200424212084
88,-0.03871563038248254
89,0.003180102797208008
90,0.016241154529299532
91,0.01154318569164927
92,-0.008662342130148982
93,-0.028013241040712077
94,-0.005915493731392605
95,0.02115204203001322
96,-0.00021967757465431403
97,-0.011264500687311826
98,0.03496991325976577
99,0.004133234203123507
100,0.006649538993222545
101,0.0046297118841371375
102,0.010782495476006312
103,0.0013834521995435235
104,-0.017457658302939643
105,0.017310373448429537
106,-0.0023388083648917955
107,0.004043819813315869
108,-0.03349833601737051
109,0.012610017081584539
110,-0.019130232798730492
111,0.028627385935593812
112,0.025494840883252132
113,0.0060226630200979
114,-0.022786841590150705
115,0.01955597790047309
116,-0.025258157406999583
117,-0.013942362426037275
118,0.010486180007467332
119,0.005762432359218963
120,0.006442559317460665
121,-0.019591170768378175
122,0.022851204842657135
123,-0.0028893949514457455
124,-0.009163000387765964
125,0.010223067195868475
126,-0.005697660496692873
127,-0.03712785428730072
128,0.02992880014284177
129,0.008324091200914499
130,-0.017329614979507583
131,0.024954626402625253
132,-0.01499132795560669
133,-0.032514660023609795
134,0.01833420731953627
135,-0.006985098212320273
136,0.018100880977585877
137,-0.008666738952711783
138,0.008157349390009647
139,0.01767111559940757
140,-0.024029029551549657
141,0.009268715148101788
142,-0.0033372126144040203
143,0.01730822209335068
144,-0.002618157157583411
145,-0.02159685902742491
146,0.004643323024636768
147,0.011760792555672524
148,0.029907656529610877
149,0.0241269267805529
150,-0.013128253196444761
151,0.01728956736948039
152,0.015430454957123111
153,0.023747272015747074
154,0.017076242923646602
155,0.012930806029394814
156,0.030678679635669077
157,0.018381448318691547
158,-0.026502026602807052
159,0.018527021206103812
160,0.021770732733118893
161,-0.03584571327579964
162,-0.008965984864065064
163,0.0032116222261686055
164,0.044710232512614516
165,0.02023792531825959
166,0.0029915050202938545
167,0.002634144669209788
168,0.014159028648101346
169,0.0021442132561008197
170,-0.019790507915808674
171,-0.0019376350809952106
172,0.011454304653756433
173,0.03579179215638202
174,-0.027485126437518874
175,0.02356751754438689
176,0.03015755224665191
177,-0.020306555239043806
178,-0.0037905448544315033
179,0.013863315843074368
180,0.00900849128813856
181,-0.036775738703760635
182,0.012224886412083295
183,-0.005451873085779215
184,0.013609126144693848
185,0.002966106337679546
186,0.011129215389987382
187,0.00011952101658909656
188,0.002997518995944603
189,-0.004615269261612698
190,-0.001105702128740123
191,-0.02352156994820252
192,0.007388552190666034
193,0.0010247168261043266
194,-0.006304562087742607
195,0.017255271423719812
196,-0.029119451089588695
197,0.004193152212459023
198,-0.0062480078363519355
199,0.0006276319005261201
200,0.009902471458447805
201,-0.023150764660801067
202,0.027248538312243924
203,-0.0022780330842714237
204,0.017496875515030413
205,0.01678524818880248
206,-0.009125198099146798
207,-0.02336616086211258
208,-0.022115950035290783
209,0.023154930824950834
210,0.006736743175429363
211,-0.012576609423332226
212,-0.014060508707865613
213,0.02137954717029249
214,0.01053345844514509
215,0.028560267848728258
216,0.006776891246388938
217,0.0010888365533956368
218,-0.04348860807126027
219,0.00484826467378424
220,-0.03657286578387832
221,-0.03124232864456931
222,-0.003693221484838179
223,0.020889772969799963
224,-0.016478567269716898
225,-0.00929871570739152
226,-0.007301312905854804
227,0.006310689496140542
228,-0.016927055682201233
229,0.021550100121647823
230,0.00778489272810954
231,-0.002538446545090911
232,-0.0042890613282577945
233,-0.05252781399818104
234,-0.011200070536834736
235,-0.011855683694992807
236,0.00999870105641538
237,0.014580796068588184
238,-0.027636167280219927
239,0.004513385745348276
240,0.0016855428722903178
241,0.010981382221247532
242,-0.014341834661988689
243,-0.00910585884886724
244,0.01960210322445081
245,0.007477370077250382
246,-0.00698726963174768
247,-0.00829449249541558
248,-0.012316772535487696
249,0.03288584122500988
250,-0.029631242368704513
251,0.010151150811299626
252,-0.006475171913103218
253,0.006120697068060385
254,-0.01125146224473171
255,0.008572160106444269
256,0.021570656843405554
257,-0.006341013653230325
258,0.0044142639952745024
259,-0.005139191149003146
260,-0.01652340735188255
261,0.0065226249873779766
262,-0.009128710761592983
263,-0.014720601850268189
264,0.015713755380318547
265,0.0011496832307588886
266,-0.013352547738855984
267,-0.0030282312197547068
268,-0.00419221292471375
269,-0.0049678668168317555
270,-0.013299926008277922
271,-0.014560589376674236
272,-0.005516500223787223
273,-0.007826538217122434
274,0.005212741483670412
275,-0.028472198399217507
276,-0.002534591502523691
277,-0.009046688797176506
278,-0.005230589927017759
279,0.02658636573013895
280,-0.03254417512818683
281,0.017164707028051507
282,-0.007741010292236696
283,0.0036325672770631742
284,0.02581421667430846
285,-0.004632924259786266
286,0.009540656970510035
287,0.0021256527755534873
288,-0.01262207217196349
289,-0.013496833521542668
290,0.025980711530555714
291,-0.005595894793264304
292,-0.02077522020274633
293,-0.004680427698968316
294,0.01700296485516939
295,0.02503779837249051
296,-0.015307721495122991
297,-0.004982845064315239
298,-0.015036196231533754
299,-0.007190639338491155
