,rct,tsi,stfi,caliper,moisture,basisweight,cull,prediction
3,-0.4084139381292894,-0.8479152748986722,-2.3182560601434847,-2.5369357198850326,-0.4193307229596703,-5.673515236681102,-0.22073719270170833,91.0370592762326
7,-0.35827383411788116,-2.567359076124854,-2.0994808231984354,-2.001164899011283,1.2847471020024777,-3.0425241438836728,-0.22073719270170833,99.68481908435464
8,-2.66471861864266,-0.7381635429055142,-1.9619649599758326,-2.0830187744225506,0.6432119208402581,-2.1645213824111362,-2.8514079616278054,83.81172367361943
9,-2.7649988266654764,-0.5918279002479668,-2.0682272179205707,-2.0681362516205017,1.445130897293033,-2.12730935242891,-2.8514079616278054,84.28851499832572
10,-2.6145785146312517,-0.4820761682548056,-1.8994577494201041,-2.1090631893261356,1.2446511531798397,-2.125297891348789,-2.8514079616278054,83.9602179242204
11,-2.66471861864266,-0.18940488293971094,-1.8702877178274306,-2.0792981437220384,0.7634997673081738,-2.119263508108428,-2.8514079616278054,83.44683323289408
12,-2.3137378905628023,-0.07965315094654964,-2.43910333388456,-1.8411777788892605,-0.13865908120119938,-2.0156732624822298,-2.8514079616278054,84.23364496415101
13,-2.8151389306768846,-0.8844991855630615,-1.8161148020124656,-2.265329678747646,2.808393157262753,-1.9714211187195816,-2.8514079616278054,87.0723868600884
14,-2.66471861864266,-0.04306924028216363,-1.9869678441981236,-2.2839328322502066,0.7434517928968548,-1.9623695438590403,-2.8514079616278054,83.77028831966597
15,-2.915419138699701,-0.701579632241125,-1.7640254598826919,-2.336021662057377,2.4675775922703234,-1.9603580827789195,-2.8514079616278054,86.36606691540565
16,-2.865279034688293,-0.5552439895835776,-1.626509596660089,-2.1685932805343304,2.0265221552212953,-1.8939798671349481,-2.8514079616278054,86.08200680781087
17,-2.5644384106198435,-0.5918279002479668,-1.6515124808823807,-2.105342558625624,1.3047950764137983,-1.8487219928322398,-2.8514079616278054,85.38594932627555
18,-2.213457682539986,-0.6284118109123529,-2.22032809693951,-1.5770129991528974,-0.49952262060494795,-1.8296131125710966,-2.8514079616278054,86.26172746506785
19,-2.1633175785285776,0.030098581046608407,-2.309921765402721,-1.666308135965189,0.8837876137760912,-1.8074870406897727,-2.8514079616278054,85.08810275751617
20,-2.1131774745171694,-0.22598879360409696,-1.4681579965855773,-1.9639585920061615,-0.7000023647181411,-1.7944125436689902,-1.7991396540573665,93.16087056986154
21,-2.063037370505761,-0.00648532961777761,-1.8306998178088023,-1.5100416465436788,-0.4393786973709893,-1.7018853339834534,-2.8514079616278054,86.46936591399314
22,-0.10757331406083998,-3.04294991476188,-2.032806465272325,-2.0904600358235745,1.3448910252364363,-1.6777478010220097,-0.22073719270170833,107.06385903147846
23,-1.611776434403087,0.761776794334345,-1.9036248967904859,-1.658866874564165,-3.887630296117925,-1.6375185794196019,-1.7991396540573665,105.59170525672252
24,-1.8624769544601283,1.164199811642601,-1.2264634491034272,-1.8486190402902847,-0.33913882531439266,-1.5993008188973157,-1.7991396540573665,94.65307307728042
25,-2.6145785146312517,-2.018600416159051,-1.984884270512933,-1.4505115553354841,0.5028760999610219,-1.5912549745768336,-2.8514079616278054,88.92841938844944
26,-1.6619165384144954,-1.2137543815425422,-1.5973395650674165,-1.4988797544421426,-1.4016814691143211,-1.5892435134967138,-1.7991396540573665,96.98955515365614
27,-2.063037370505761,0.249602045032931,-1.5181637650301598,-1.87466345519387,1.5854667181722693,-1.5771747470159918,-2.8514079616278054,87.13287462445385
28,-2.012897266494353,1.164199811642601,-1.3785643281223665,-1.8225746253866995,0.28234838143650787,-1.5701346332355706,-1.7991396540573665,93.90031978262081
29,-1.81233685044872,0.9812802583206676,-0.8743394963061564,-1.785368318381578,-0.1988030044351563,-1.5681231721554498,-1.7991396540573665,95.2139219702266
30,-1.7621967464373118,1.5300389182864675,-1.193126270140372,-1.8374571481887485,0.6833078696628961,-1.5530372140545472,-1.7991396540573665,95.16991811927751
31,-1.6619165384144954,1.5666228289508568,-1.038941817436242,-1.781647687681066,-0.9606260320652931,-1.5520314835144873,-1.7991396540573665,97.6045002836879
32,-1.5616363303916787,0.9446963476562783,-0.9764346068805133,-1.9230316543005281,0.16206053496859227,-1.5520314835144873,-1.7991396540573665,94.4782399927027
33,-1.611776434403087,2.4080527742317512,-0.6493135383055342,-1.8337365174882363,0.5830679976062995,-1.5409684475738246,-1.7991396540573665,99.03330584221749
34,-1.9627571624829447,0.8349446156631203,-1.6994346756417726,-1.5658511070513612,-0.21885097884647703,-1.5349340643334641,-1.7991396540573665,93.81571546043563
35,-1.7621967464373118,1.7861262929371762,-0.690985012009353,-1.785368318381578,0.5028760999610219,-1.5299054116331627,-1.7991396540573665,97.2439786717192
36,-1.81233685044872,1.0544480796494395,-1.5640023861043613,-1.4839972316400936,-0.8603861600086965,-1.5198481062325615,-1.7991396540573665,95.81814323393695
37,-1.6619165384144954,0.5422733303480256,-1.5327487808264966,-1.5695717377518732,0.26230040702518886,-1.518842375692501,-1.7991396540573665,93.35445757731948
