grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050550,2/14/2017 0:50,127,5.01,29.33,15.13,5.99,52.71,119.5
NL050550,2/4/2017 19:11,121,4.8,28.28,15.49,6.45,52.71,119.5
NL050550,2/4/2017 19:43,121,4.81,26.89,15.52,6.76,52.71,119.5
NL050550,1/19/2017 3:19,122,4.85,,15.64,6.84,52.71,119.5
NL050550,1/21/2017 5:57,123,5.07,28.68,15.53,6.22,52.72,119.5
NL050550,2/17/2017 1:31,122,5.02,28.78,15.54,6.66,52.72,119.5
NL050550,1/25/2017 23:23,125,4.39,29.28,14.98,6.34,52.72,119.5
NL050550,2/9/2017 4:49,124,4.78,28.53,14.86,6.75,52.73,119.5
NL050550,1/21/2017 10:31,122,4.95,27.09,15.5,6.62,52.74,119.5
NL050550,2/5/2017 10:13,124,4.93,27.99,15.24,6.35,52.74,119.5
NL050550,1/27/2017 8:41,124,4.54,28.64,15.12,6.07,52.74,119.5
NL050550,4/14/2017 16:14,128,4.9,29.16,15.96,6.35,52.75,119.5
NL050550,2/11/2017 4:38,122,4.89,29.4,15.35,6.19,52.75,119.5
NL050550,1/27/2017 11:21,120,4.64,27.09,15.13,6.4,52.75,119.5
NL050550,3/23/2017 0:17,124,4.68,28.71,14.49,6.77,52.75,119.5
NL050550,1/27/2017 12:42,123,4.61,29.29,15.19,6.38,52.77,119.5
NL050550,2/20/2017 8:47,127,5.02,29.67,15.68,6.8,52.77,119.5
NL050550,2/21/2017 21:56,122,4.85,29.68,15.48,6.54,52.77,119.5
NL050550,2/5/2017 5:23,123,5.02,28.66,15.17,6.67,52.77,119.5
NL050550,4/14/2017 7:03,122,4.92,27.64,15.69,6.24,52.77,119.5
NL050550,3/6/2017 7:26,128,5.16,28.17,15.51,6.79,52.77,119.5
NL050550,2/26/2017 23:50,124,5.03,29.36,15.3,6.37,52.78,119.5
NL050550,4/15/2017 16:59,126,5,28.29,15.47,5.94,52.79,119.5
NL050550,3/22/2017 21:53,122,4.69,30.52,14.46,6.44,52.8,119.5
NL050550,3/23/2017 7:33,128,4.79,30.97,14.37,7.06,52.8,119.5
NL050550,2/11/2017 7:56,123,4.77,28.18,14.72,6.62,52.8,119.5
NL050550,4/7/2017 13:33,125,4.81,30.07,15.45,7.87,52.8,119.5
NL050550,4/4/2017 20:20,122,5.04,24.83,15.75,5.52,52.8,119.5
NL050550,1/28/2017 3:18,122,4.7,29.05,15.48,6.11,52.81,119.5
NL050550,3/30/2017 13:36,122,4.87,29,15.32,6.51,52.81,119.5
NL050550,1/13/2017 4:58,123,4.61,26.16,15.71,5.96,52.81,119.5
NL050550,1/11/2017 22:02,123,4.39,25.66,14.96,7.02,52.81,119.5
NL050550,3/6/2017 13:44,123,4.97,28.71,15.52,6.97,52.82,119.5
NL050550,3/29/2017 2:00,122,4.56,24.13,15.81,6.45,52.82,119.5
NL050550,2/4/2017 15:31,123,4.78,24.01,15.68,6.74,52.82,119.5
NL050550,4/8/2017 5:54,127,4.75,28.41,15.21,6.65,52.82,119.5
NL050550,2/27/2017 17:11,126,4.95,28.11,15.32,6.85,52.83,119.5
NL050550,1/13/2017 3:19,123,4.52,26.13,15.8,6.41,52.84,119.5
NL050550,4/7/2017 8:41,122,5.14,27.36,15.81,5.81,52.84,119.5
