,rct,tsi,stfi,caliper,moisture,basis,cull,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,grade_CM020230,grade_CM020330,grade_CM020410,grade_NL050310,grade_NL050350,grade_NL050420,prediction
48,30.0,3.47,9.9083,8.0315,7.2584,23.3509,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.373522406799964
49,32.0,3.3633,10.7682,8.4416,7.7877,23.3509,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.6361518588068
50,33.0,3.5233,10.9728,7.8871,7.8654,23.3509,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.910543474181665
51,29.0,3.3591,10.3588,7.6342,8.415,23.3548,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.817176311936123
52,29.0,3.3583,10.8824,7.7264,8.3843,23.3697,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.24788519658496
53,30.0,3.4367,10.3133,8.5039,7.4171,23.3731,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.806906982124445
54,31.0,3.59,10.6293,7.7264,7.8267,23.3731,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.621321129027393
55,30.0,3.5173,9.8377,7.6127,7.193,23.3758,27.5,1,0,0,0,0,0,1,0,0,0,0,0,30.61074545274019
56,29.0,3.3233,9.9945,8.1135,7.7083,23.3864,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.103070689385774
57,30.0,3.5092,10.7459,7.8773,7.7019,23.3867,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.65531937263993
58,31.0,3.3925,9.7214,8.1266,7.4145,23.3883,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.20047474038106
59,31.0,3.3592,10.7576,8.4121,8.1457,23.3883,27.5,1,0,0,0,0,0,1,0,0,0,0,0,32.75890541279614
60,34.0,3.4908,10.7877,7.7592,7.5385,23.3936,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.297344595485804
61,31.0,3.5275,10.4542,7.9593,7.8635,23.4021,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.838453965649023
62,31.0,3.4227,10.5258,7.9027,8.3559,23.4125,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.6916112343215
63,31.0,3.4583,10.5564,7.9462,8.0116,23.4431,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.677765385624404
64,32.0,3.5436,10.4063,7.7201,8.1095,23.4441,27.5,1,0,0,0,0,0,1,0,0,0,0,0,31.4725560505672
