,tsi,stfi,caliper,moisture,basisweight,rct,prediction,,,
317,4.43,21.69,15.05,6.37,52.6,123,121.0550905,-1.944909506,1.944909506,
318,5.05,29.34,15.25,6.51,52.61,123,124.6879986,1.687998622,1.687998622,
319,4.83,25.25,15.66,6.58,52.61,124,122.1220466,-1.877953382,1.877953382,
320,4.94,27.82,15.36,6.46,52.61,126,123.7312162,-2.268783791,2.268783791,
321,4.9,28.75,14.74,6.2,52.61,122,124.5358629,2.535862907,2.535862907,
322,4.73,26.21,14.52,5.91,52.62,121,123.193939,2.193938984,2.193938984,
323,5.05,28.94,15.55,5.96,52.62,122,125.0497214,3.049721385,3.049721385,
324,4.99,30.18,14.94,6.34,52.63,122,125.0705526,3.07055261,3.07055261,
325,4.49,26.48,14.89,6.56,52.63,122,121.4099214,-0.590078563,0.590078563,
326,5.01,28.42,15.92,6.22,52.64,124,124.2128499,0.212849852,0.212849852,
327,4.99,30.33,15.52,6.3,52.65,127,124.6626511,-2.337348907,2.337348907,
328,4.77,25.26,15.81,6.3,52.65,121,122.016745,1.016744986,1.016744986,
329,4.49,28.33,15.13,6.32,52.65,121,122.0529781,1.052978138,1.052978138,
330,5.03,28.85,15.44,6.62,52.65,122,124.1798388,2.179838803,2.179838803,
331,4.91,28.58,15.27,6.03,52.65,121,124.4163495,3.416349503,3.416349503,
332,5.09,27.91,15.32,6.61,52.66,129,124.3248274,-4.675172583,4.675172583,
333,5.15,28.4,15.57,6.01,52.66,124,125.3189729,1.318972862,1.318972862,
334,4.9,28.12,14.52,6.55,52.67,121,123.9381861,2.938186138,2.938186138,
335,4.87,28.44,15.76,6.16,52.67,123,123.7100062,0.710006164,0.710006164,
336,4.66,21.87,16.98,6.2,52.67,120,120.433002,0.433001981,0.433001981,
337,5.23,31.09,15.43,6.4,52.67,124,125.6331501,1.633150108,1.633150108,
338,4.86,28.55,14.37,6.42,52.67,121,124.065097,3.065096961,3.065096961,
339,4.32,24.77,15.24,6.01,52.67,121,121.0283524,0.028352358,0.028352358,
340,4.97,26.29,15.65,6.09,52.67,127,123.6429502,-3.357049831,3.357049831,
341,4.86,29.08,15.46,6.58,52.68,123,123.4929932,0.492993248,0.492993248,
342,4.82,24.06,15.31,6.67,52.68,125,122.0550595,-2.944940506,2.944940506,
343,4.76,25.46,15.29,6.11,52.68,123,122.6816556,-0.318344363,0.318344363,
344,5.04,31,15.44,6.58,52.68,124,124.6880745,0.688074546,0.688074546,
345,4.89,30.19,14.69,6.15,52.68,123,124.9751858,1.975185812,1.975185812,
346,5.09,28.83,15.4,6.32,52.69,124,124.8893582,0.889358243,0.889358243,
347,5.05,30,15.2,6.93,52.69,128,124.3714717,-3.628528293,3.628528293,
348,5.08,30.58,14.33,7.08,52.69,126,125.1942434,-0.805756565,0.805756565,
349,5.27,29.41,15.45,6.25,52.7,125,125.8178449,0.817844947,0.817844947,
350,4.92,27.62,15.31,6.58,52.7,123,123.4753259,0.475325854,0.475325854,
351,4.87,28.79,15.4,6.77,52.7,125,123.2752141,-1.724785938,1.724785938,
352,4.62,26.12,15.33,6.7,52.71,124,121.4734173,-2.52658272,2.52658272,
353,5.01,29.33,15.13,5.99,52.71,127,125.2230178,-1.776982185,1.776982185,
354,4.8,28.28,15.49,6.45,52.71,121,123.114238,2.11423796,2.11423796,
355,4.81,26.89,15.52,6.76,52.71,121,122.3571998,1.357199805,1.357199805,
356,5.07,28.68,15.53,6.22,52.72,123,124.7977474,1.797747395,1.797747395,
357,5.02,28.78,15.54,6.66,52.72,122,123.9990448,1.999044779,1.999044779,
358,4.39,29.28,14.98,6.34,52.72,125,121.9969998,-3.00300023,3.00300023,
359,4.78,28.53,14.86,6.75,52.73,124,123.2007426,-0.799257432,0.799257432,
360,4.95,27.09,15.5,6.62,52.74,122,123.2765198,1.276519832,1.276519832,
361,4.93,27.99,15.24,6.35,52.74,124,123.9963534,-0.003646561,0.003646561,
362,4.54,28.64,15.12,6.07,52.74,124,122.7198015,-1.280198474,1.280198474,
363,4.9,29.16,15.96,6.35,52.75,128,123.8060633,-4.193936708,4.193936708,
364,4.89,29.4,15.35,6.19,52.75,122,124.2987108,2.298710779,2.298710779,
365,4.64,27.09,15.13,6.4,52.75,120,122.3170974,2.317097434,2.317097434,
366,4.19,27.17,14.14,6.61,52.75,120,120.8244576,0.824457588,0.824457588,
367,4.68,28.71,14.49,6.77,52.75,124,122.9098157,-1.090184344,1.090184344,
368,4.86,29.54,15.05,6.52,52.76,126,124.0517288,-1.94827116,1.94827116,
369,4.61,29.29,15.19,6.38,52.77,123,122.8210563,-0.178943672,0.178943672,
370,5.02,29.67,15.68,6.8,52.77,127,123.9474072,-3.05259279,3.05259279,
371,4.85,29.68,15.48,6.54,52.77,122,123.6670243,1.667024273,1.667024273,
372,4.32,27.9,14.1,6.17,52.77,120,121.9377445,1.937744471,1.937744471,
373,5.02,28.66,15.17,6.67,52.77,123,124.2735433,1.273543292,1.273543292,
374,4.75,26.52,15.14,6.22,52.77,125,122.9087981,-2.09120187,2.09120187,
375,4.92,27.64,15.69,6.24,52.77,122,123.6521033,1.652103293,1.652103293,
376,4.87,29.55,15.56,6.78,52.77,124,123.3745511,-0.625448923,0.625448923,
377,5.16,28.17,15.51,6.79,52.77,128,124.3441606,-3.655839423,3.655839423,
378,4.74,27.57,14.34,6.19,52.78,121,123.3681244,2.368124358,2.368124358,
379,4.93,29.54,14.57,6.14,52.78,121,125.0733693,4.073369327,4.073369327,
380,5.03,29.36,15.3,6.37,52.78,124,124.7663636,0.766363588,0.766363588,
381,5.01,28.65,14.96,6.93,52.78,126,124.0755666,-1.924433425,1.924433425,
382,5,28.29,15.47,5.94,52.79,126,124.7557655,-1.244234489,1.244234489,
383,4.69,30.52,14.46,6.44,52.8,122,124.0069794,2.006979391,2.006979391,
384,4.79,30.97,14.37,7.06,52.8,128,124.0768347,-3.923165328,3.923165328,
385,4.77,28.18,14.72,6.62,52.8,123,123.2561785,0.256178529,0.256178529,
386,4.81,30.07,15.45,7.87,52.8,125,122.4711845,-2.528815468,2.528815468,
387,5.04,24.83,15.75,5.52,52.8,122,124.0073444,2.007344382,2.007344382,
388,4.86,27.68,14.39,6.18,52.8,120,123.9920192,3.992019161,3.992019161,
389,4.7,29.05,15.48,6.11,52.81,122,123.3187215,1.318721471,1.318721471,
390,4.87,29,15.32,6.51,52.81,122,123.7418506,1.741850647,1.741850647,
391,4.61,26.16,15.71,5.96,52.81,123,122.046018,-0.953982042,0.953982042,
392,4.39,25.66,14.96,7.02,52.81,123,120.3521373,-2.647862652,2.647862652,
393,4.88,27.08,14.51,6.86,52.82,122,123.0845349,1.084534906,1.084534906,
394,4.97,28.71,15.52,6.97,52.82,123,123.4140176,0.414017603,0.414017603,
395,4.56,24.13,15.81,6.45,52.82,122,120.841334,-1.158665977,1.158665977,
396,4.78,24.01,15.68,6.74,52.82,123,121.6021247,-1.397875333,1.397875333,
397,4.75,28.41,15.21,6.65,52.82,127,122.8951518,-4.10484824,4.10484824,
398,4.95,28.11,15.32,6.85,52.83,126,123.4533342,-2.546665847,2.546665847,
399,4.52,26.13,15.8,6.41,52.84,123,121.0323744,-1.967625561,1.967625561,
400,5.14,27.36,15.81,5.81,52.84,122,125.0669785,3.066978513,3.066978513,
401,4.27,21.93,14.33,6.55,52.84,121,120.6438521,-0.356147909,0.356147909,
402,4.84,24.91,15.6,6,52.84,125,122.7750809,-2.224919057,2.224919057,
403,4.45,31.14,15.09,6.9,52.84,124,122.2320904,-1.767909619,1.767909619,
404,4.5,27.06,15.22,6.29,52.84,125,121.761849,-3.238150969,3.238150969,
405,4.8,27.7,14.84,6.37,52.84,124,123.501419,-0.498580952,0.498580952,
406,4.94,26.11,15.98,6.49,52.84,120,122.7974235,2.797423539,2.797423539,
407,4.86,27.72,15.42,6.17,52.85,125,123.675979,-1.324020975,1.324020975,
408,4.68,27.28,14.57,6.18,52.85,123,123.0853639,0.085363894,0.085363894,
409,4.96,28.77,15.62,6.06,52.86,126,124.4715903,-1.528409695,1.528409695,
410,4.73,28.71,15.19,6.61,52.86,125,122.9637607,-2.036239307,2.036239307,
411,4.54,25.82,15.08,6.28,52.87,119,121.798789,2.798788968,2.798788968,
412,4.8,28.14,15.54,6.28,52.87,124,123.2881842,-0.711815793,0.711815793,
413,4.66,26.72,14.65,6.31,52.87,124,122.650597,-1.349402957,1.349402957,
414,4.99,27.09,15.95,6.07,52.88,121,123.9012435,2.901243517,2.901243517,
415,4.14,23.22,14.98,6.24,52.88,122,120.4038569,-1.596143127,1.596143127,
416,4.83,27.18,15.74,6.32,52.89,131,122.9480645,-8.051935491,8.051935491,
417,4.97,27.16,14.58,6.59,52.9,123,123.8841668,0.884166841,0.884166841,
418,4.5,28.12,14.74,6.56,52.9,121,122.0430664,1.043066426,1.043066426,
419,4.63,28.56,14.77,6.5,52.9,127,122.8554996,-4.144500405,4.144500405,
420,4.26,24.55,15.85,6.22,52.91,120,120.0359761,0.035976149,0.035976149,
421,4.86,30.88,15.08,6.3,52.91,122,124.5799201,2.579920105,2.579920105,
422,4.51,26.53,15.21,6.42,52.92,121,121.5323635,0.532363455,0.532363455,
423,4.86,28.45,15.22,6.52,52.92,125,123.6231689,-1.376831122,1.376831122,
424,4.98,28.45,15.82,6.78,52.92,122,123.4649508,1.464950772,1.464950772,
425,5.06,27,15.65,6.04,52.93,127,124.4342151,-2.565784921,2.565784921,
426,5.03,27.8,15.53,6.61,52.93,121,123.8980635,2.898063524,2.898063524,
427,4.84,25.43,15.94,5.77,52.94,121,122.9213156,1.921315621,1.921315621,
428,5.01,28.75,15.38,6.11,52.94,121,124.8204942,3.820494228,3.820494228,
429,4.66,29.47,15.55,6.96,52.94,124,122.258216,-1.741783969,1.741783969,
430,4.71,30.51,15.51,7.04,52.95,127,122.7604545,-4.239545547,4.239545547,
431,4.6,29.39,15.21,6.5,52.95,121,122.6829724,1.682972402,1.682972402,
432,4.63,29.16,15.2,6.16,52.95,126,123.1699807,-2.830019329,2.830019329,
433,4.99,28.87,15.55,6.43,52.95,124,124.2304121,0.230412083,0.230412083,
434,4.78,28.81,15.24,6.35,52.95,127,123.5405856,-3.459414423,3.459414423,
435,4.43,20.03,15.04,6.77,52.96,121,120.9673624,-0.03263765,0.03263765,
436,4.77,28.5,15.72,6.82,52.96,124,122.5201772,-1.479822832,1.479822832,
437,4.91,29.69,14.28,6.72,52.96,133,124.5656148,-8.434385156,8.434385156,
438,4.31,22.49,14.93,6.2,52.96,123,120.99533,-2.004669975,2.004669975,
439,4.97,26.84,15.67,6.47,52.96,121,123.4044612,2.404461206,2.404461206,
440,4.92,25.83,15.35,6.39,52.97,126,123.1919004,-2.808099584,2.808099584,
441,4.53,28.3,15.06,6.41,52.97,121,122.2292134,1.229213382,1.229213382,
442,4.84,24.68,16.79,6.33,52.97,125,121.8948281,-3.105171919,3.105171919,
443,4.47,29.1,15.26,6.57,52.97,123,121.8605316,-1.13946835,1.13946835,
444,4.63,24,16.06,5.92,52.98,122,121.3762656,-0.623734442,0.623734442,
445,4.36,27.43,14.94,6.25,52.98,126,121.5532636,-4.446736435,4.446736435,
446,5.09,29.78,15.41,6.59,52.98,127,124.7661101,-2.233889853,2.233889853,
447,4.8,30.85,14.84,6.35,52.98,123,124.4741037,1.474103729,1.474103729,
448,4.72,26.38,15.62,6.43,52.98,121,122.1278496,1.127849563,1.127849563,
449,4.63,27.89,15.19,6.14,52.99,121,122.8404771,1.840477135,1.840477135,
450,4.08,22.76,14.58,7.05,52.99,113,119.6223672,6.62236716,6.62236716,
451,5.06,29.57,15.44,6.04,52.99,126,125.2633382,-0.736661753,0.736661753,
452,4.85,26.54,15.38,6.6,53,120,122.7907293,2.790729326,2.790729326,
453,4.73,27.77,15.94,6.84,53.01,125,122.0293233,-2.970676733,2.970676733,
454,5.01,26.08,15.7,5.87,53.01,125,124.0380066,-0.96199342,0.96199342,
455,4.83,26.21,15.11,6.63,53.01,122,122.7542458,0.754245805,0.754245805,
456,4.89,29.06,15.34,6.99,53.02,122,123.3007756,1.300775607,1.300775607,
457,4.84,28.31,15.1,6.22,53.02,121,123.9691647,2.969164709,2.969164709,
458,4.5,28.35,15.22,6.39,53.02,126,122.019782,-3.980217994,3.980217994,
459,4.91,29.25,15.23,6.95,53.02,122,123.5816902,1.581690223,1.581690223,
460,4.88,28.35,15.84,6.34,53.03,130,123.5650431,-6.434956924,6.434956924,
461,4.99,30.69,15,6.83,53.03,123,124.6308204,1.630820386,1.630820386,
462,5.06,28.15,15.81,5.93,53.03,121,124.8517383,3.851738312,3.851738312,
463,4.97,27.06,15.87,5.93,53.03,129,124.0252652,-4.974734766,4.974734766,
464,4.67,24.92,16.82,6.17,53.03,122,121.3956625,-0.604337478,0.604337478,
465,4.18,28.63,16.92,7.06,53.03,121,120.4499326,-0.550067373,0.550067373,
466,4.77,28.18,15.67,6.26,53.03,127,123.1413096,-3.858690396,3.858690396,
467,4.97,25.11,15.81,6.89,53.03,125,122.4308029,-2.569197066,2.569197066,
468,4.92,28.11,15.39,6.06,53.04,127,124.2804831,-2.719516868,2.719516868,
469,4.83,28.49,15.5,6.24,53.04,122,123.6569489,1.656948913,1.656948913,
470,4.87,26.73,15.55,6.36,53.05,124,123.1137733,-0.88622672,0.88622672,
471,4.29,26.71,15.91,6.1,53.06,129,120.642986,-8.357013962,8.357013962,
472,4.48,25.84,15.01,6.76,53.06,123,121.0180371,-1.981962934,1.981962934,
473,4.25,20.3,15.72,6.5,53.06,123,120.1072542,-2.892745775,2.892745775,
474,4.44,27.64,15.14,6.34,53.06,121,121.679814,0.679813961,0.679813961,
475,4.82,28.23,15.42,6.71,53.07,127,122.9942183,-4.005781667,4.005781667,
476,4.8,26.29,15.6,6.79,53.07,123,122.1299796,-0.8700204,0.8700204,
477,5.04,27.62,16,6.47,53.07,123,123.8589324,0.858932414,0.858932414,
478,5.21,30.69,15.49,5.85,53.07,129,126.1649345,-2.835065484,2.835065484,
479,4.31,24.27,14.58,6.07,53.08,128,121.3631641,-6.636835895,6.636835895,
480,4.87,28.1,14.89,6.71,53.08,121,123.5938225,2.593822474,2.593822474,
481,4.21,22.17,15.74,6.47,53.08,123,119.8029589,-3.197041093,3.197041093,
482,4.93,30.01,14.95,7.03,53.08,123,124.0536848,1.053684842,1.053684842,
483,4.54,28.17,14.94,6.27,53.09,122,122.530214,0.53021402,0.53021402,
484,4.93,27.49,15.79,6.62,53.1,123,123.1949331,0.194933136,0.194933136,
485,4.88,28.56,15.67,6.99,53.1,121,122.9090773,1.909077319,1.909077319,
486,4.25,23.14,14.35,6.62,53.11,123,120.5436141,-2.456385917,2.456385917,
487,5.08,29.1,15.34,7.11,53.11,126,124.0214547,-1.97854534,1.97854534,
488,4.62,27.38,15.26,6.43,53.11,123,122.2335811,-0.766418887,0.766418887,
489,4.63,28.89,15.99,6.1,53.12,121,122.918289,1.918288982,1.918288982,
490,4.9,32.53,14.4,7.3,53.12,129,124.7656903,-4.234309744,4.234309744,
491,4.88,28.24,15.31,6.4,53.12,125,123.7785154,-1.221484609,1.221484609,
492,4.89,28.74,15.44,6.94,53.13,122,123.2066668,1.206666797,1.206666797,
493,4.52,29.42,14.9,6.94,53.13,125,122.0859895,-2.914010529,2.914010529,
494,4.45,28.07,15.34,6.37,53.13,120,121.6666749,1.666674899,1.666674899,
495,5.06,25.46,15.92,6.1,53.13,125,123.679838,-1.320162033,1.320162033,
496,4.7,27.62,15,6.43,53.14,123,122.8938258,-0.106174183,0.106174183,
497,4.9,28.41,15.83,6.49,53.14,126,123.5187022,-2.481297784,2.481297784,
498,4.68,28.46,14.46,7.11,53.14,122,122.5402045,0.540204529,0.540204529,
499,4.86,27.02,15.79,6.56,53.15,122,122.784315,0.784314994,0.784314994,
500,5.17,28.11,15.56,6.51,53.15,125,124.7801481,-0.219851945,0.219851945,
501,4.87,26.66,15.98,6.17,53.16,122,123.08752,1.087520013,1.087520013,
502,4.92,28.81,15.99,6.12,53.16,114,124.1983963,10.19839633,10.19839633,
503,4.88,27.97,15.93,6.14,53.17,123,123.696644,0.696643994,0.696643994,
504,4.87,28.84,15.29,6.8,53.17,122,123.428412,1.42841203,1.42841203,
505,4.69,26.28,15.77,6.47,53.18,122,121.8447528,-0.155247187,0.155247187,
506,4.81,27.7,15.52,6.41,53.19,123,123.1101198,0.110119812,0.110119812,
507,4.4,24.21,14.86,6.19,53.2,127,121.400291,-5.599709026,5.599709026,
508,4.75,28.04,15.15,6.73,53.2,121,122.7983144,1.798314383,1.798314383,
509,4.67,28.18,14.91,7.23,53.2,120,122.0960712,2.096071191,2.096071191,
510,4.73,27.67,15.52,6.45,53.2,122,122.6558229,0.655822914,0.655822914,
511,4.12,21.77,15.58,6.63,53.2,121,119.6315201,-1.368479884,1.368479884,
512,4.63,28.54,15.16,6.67,53.21,122,122.4330874,0.433087428,0.433087428,
513,4.54,26.82,15.16,6.14,53.21,120,122.2008044,2.200804371,2.200804371,
514,4.24,27.2,15.01,7,53.21,122,120.0814531,-1.918546851,1.918546851,
515,4.5,27.07,14.72,7.41,53.21,114,120.9192278,6.919227815,6.919227815,
516,4.9,29.13,15.23,6.14,53.23,122,124.5127841,2.512784147,2.512784147,
517,4.28,26.08,15.14,6.77,53.24,123,120.1918127,-2.808187285,2.808187285,
518,4.92,20.07,16.58,6.69,53.24,122,121.3037324,-0.696267618,0.696267618,
519,4.74,27.51,15.31,6.64,53.24,127,122.5781322,-4.421867792,4.421867792,
520,5.06,25.17,15.66,6.14,53.25,126,123.7519553,-2.248044714,2.248044714,
521,4.89,29.08,15.01,6.56,53.26,125,124.138096,-0.861903968,0.861903968,
522,4.46,30.06,15.59,6.48,53.26,120,122.199912,2.199911966,2.199911966,
523,4.78,28.71,15.63,6.52,53.27,127,123.1156999,-3.884300059,3.884300059,
524,5.01,24.44,15.89,6.37,53.28,123,122.9000857,-0.099914273,0.099914273,
525,4.65,26.89,15.63,6.79,53.28,124,121.5795546,-2.420445402,2.420445402,
526,4.8,24.46,17.01,6.98,53.29,124,121.4097957,-2.59020432,2.59020432,
527,4.66,26.95,15.73,6.38,53.29,121,122.0593516,1.059351622,1.059351622,
528,4.84,28.88,15.53,6.4,53.29,122,123.6593676,1.659367602,1.659367602,
529,5.04,29.82,15.54,6.65,53.3,124,124.4551912,0.455191207,0.455191207,
530,4.76,25.72,16.17,6.4,53.31,125,121.934503,-3.065496977,3.065496977,
531,4.5,28.39,15.31,6.47,53.32,124,121.9252838,-2.074716249,2.074716249,
532,5.23,28.3,15.77,6.03,53.32,125,125.5953341,0.595334094,0.595334094,
533,4.47,27.43,15.15,6.19,53.32,122,122.0010522,0.001052218,0.001052218,
534,4.39,27.55,15.26,6.59,53.34,119,121.0634363,2.06343625,2.06343625,
535,4.57,28.41,14.84,6.84,53.34,123,122.1546787,-0.84532131,0.84532131,
536,5.15,30.56,15.4,6.15,53.34,121,125.7139509,4.713950865,4.713950865,
537,4.94,26.91,15.7,5.9,53.34,119,124.0109536,5.010953578,5.010953578,
538,4.56,27.45,15.23,6.23,53.35,123,122.3042575,-0.69574248,0.69574248,
539,4.41,27.87,15.02,6.64,53.35,121,121.366513,0.366512965,0.366512965,
540,4.71,29.46,14.59,7.1,53.36,122,123.0791305,1.079130548,1.079130548,
541,4.48,29.37,15.47,6.67,53.38,123,121.8610605,-1.138939535,1.138939535,
542,4.99,29.09,16.23,6.44,53.38,122,124.3261833,2.326183343,2.326183343,
543,4.72,27.55,15.85,6.2,53.39,121,122.7650319,1.765031872,1.765031872,
544,4.93,29.68,15.39,6.74,53.39,124,123.9650224,-0.03497756,0.03497756,
545,4.89,27.71,16.1,5.88,53.39,123,123.9747926,0.974792603,0.974792603,
546,4.91,25.91,15.7,5.81,53.39,123,123.6162024,0.61620242,0.61620242,
547,4.82,27.52,15.83,6.75,53.39,125,122.5835311,-2.416468933,2.416468933,
548,4.21,27.66,15.03,6.3,53.39,126,120.9800631,-5.019936869,5.019936869,
549,4.79,26.46,15.65,5.96,53.4,123,123.1006159,0.100615922,0.100615922,
550,4.67,28.4,14.89,7.31,53.42,122,122.14171,0.141709981,0.141709981,
551,4.32,23.21,15.67,6.56,53.42,121,120.0595196,-0.940480353,0.940480353,
552,4.83,28.57,15.98,6.25,53.43,121,123.6445549,2.644554907,2.644554907,
553,4.73,26.1,15.94,6.54,53.43,124,121.8738697,-2.126130328,2.126130328,
554,4.87,24.57,15.7,6.24,53.43,121,122.5787979,1.578797874,1.578797874,
555,4.78,28.1,15.81,6.32,53.43,125,123.1433986,-1.856601371,1.856601371,
556,4.8,28.43,15.45,6.85,53.44,123,122.8476094,-0.152390601,0.152390601,
557,4.64,28.42,15.86,6.77,53.44,123,122.0495373,-0.950462667,0.950462667,
558,5.04,29.38,15.61,6.46,53.44,121,124.6086272,3.608627247,3.608627247,
559,4.43,26.45,15.17,6.69,53.44,121,120.9396425,-0.060357547,0.060357547,
560,4.83,29.67,15.42,6.24,53.45,130,124.119961,-5.88003905,5.88003905,
561,4.94,30.16,15.43,6.02,53.46,125,124.9316491,-0.068350924,0.068350924,
562,4.91,28.04,15.94,6.87,53.46,122,123.0442648,1.044264775,1.044264775,
563,4.79,28.84,15.28,6.4,53.47,124,123.6085293,-0.391470685,0.391470685,
564,4.53,28.35,15.45,6.97,53.47,120,121.4099259,1.409925941,1.409925941,
565,4.64,27.52,16.93,6.53,53.47,121,122.6711892,1.671189157,1.671189157,
566,4.67,24.77,15.75,6.52,53.48,122,121.4270051,-0.572994932,0.572994932,
567,4.8,25.97,16.13,6.35,53.48,122,122.3181442,0.318144214,0.318144214,
568,4.92,27.65,15.87,6.28,53.49,122,123.7000956,1.700095551,1.700095551,
569,5.06,28.43,15.55,6.29,53.49,121,124.7360732,3.736073206,3.736073206,
570,4.33,29.14,14.64,6.65,53.5,128,121.7534787,-6.246521324,6.246521324,
571,4.16,25.2,15.44,6.86,53.51,110,119.406781,9.406781029,9.406781029,
572,4.83,28.12,15.6,6.88,53.53,124,122.7930601,-1.206939852,1.206939852,
573,4.9,26.11,15.65,6.18,53.53,126,123.2953766,-2.704623412,2.704623412,
574,4.46,26.83,15.02,6.72,53.54,122,121.2424229,-0.757577059,0.757577059,
575,4.86,25.47,16.28,6.6,53.55,122,122.1860968,0.18609675,0.18609675,
576,5.04,28.1,15.5,6.16,53.56,122,124.7598648,2.759864814,2.759864814,
577,4.91,30.41,15.36,6.42,53.58,125,124.4923764,-0.507623649,0.507623649,
578,4.85,27.72,15.98,6.43,53.58,123,123.2269171,0.226917147,0.226917147,
579,4.85,25.91,15.99,6.28,53.59,124,122.6794018,-1.320598186,1.320598186,
580,4.81,30.1,15.03,6.61,53.6,126,124.027949,-1.972050994,1.972050994,
581,4.18,26.36,15.8,6.9,53.61,109,119.3511418,10.35114178,10.35114178,
582,4.79,28.19,15.23,7.03,53.63,125,122.7165449,-2.283455086,2.283455086,
583,4.51,27.71,15.14,6.67,53.65,122,121.6932765,-0.306723456,0.306723456,
584,4.74,27.89,15.69,6.6,53.67,120,122.6171024,2.617102353,2.617102353,
585,4.22,26.04,14.5,6.49,53.68,115,120.9037886,5.903788626,5.903788626,
586,4.79,26.39,15.97,6.65,53.68,124,122.2000757,-1.799924334,1.799924334,
587,4.42,26.37,14.6,6.43,53.68,126,121.6774356,-4.322564427,4.322564427,
588,4.68,29.18,15.43,6.27,53.69,123,123.3005931,0.300593066,0.300593066,
589,4.3,27.02,15.1,6.78,53.7,121,120.5135636,-0.48643642,0.48643642,
590,4.39,25.87,14.44,7.1,53.71,121,120.6584949,-0.341505116,0.341505116,
591,4.65,27.97,15.98,6.39,53.71,124,122.4667066,-1.533293364,1.533293364,
592,4.96,31.14,15.43,6.78,53.72,126,124.3897375,-1.610262468,1.610262468,
593,4.87,30.35,15.29,6.46,53.72,123,124.3406588,1.340658765,1.340658765,
594,5,27.9,15.51,6.9,53.72,124,123.5886017,-0.411398321,0.411398321,
595,4.42,29.38,15.35,6.68,53.72,122,121.7251251,-0.274874921,0.274874921,
596,4.65,28.32,15.48,6.89,53.73,123,122.0925038,-0.907496227,0.907496227,
597,4.49,27.69,14.8,6.26,53.74,127,122.4187834,-4.581216617,4.581216617,
598,4.96,28.95,15.66,6.17,53.74,122,124.56928,2.569279968,2.569279968,
599,4.79,28.84,15.84,6.46,53.75,125,123.3983369,-1.601663071,1.601663071,
600,4.34,29.36,15.22,6.65,53.75,121,121.4909973,0.490997339,0.490997339,
601,4.66,29.9,15.15,6.77,53.75,123,123.0339493,0.03394933,0.03394933,
602,4.77,26.68,15.98,6.21,53.76,114,122.7109432,8.710943206,8.710943206,
603,4.62,27.17,16.11,6.55,53.8,122,121.8342667,-0.165733288,0.165733288,
604,4.43,22.98,16.07,6.42,53.81,123,120.182175,-2.81782498,2.81782498,
605,4.82,28.91,15.34,6.83,53.81,117,123.2633419,6.263341943,6.263341943,
606,4.79,29.34,15.82,7.09,53.82,123,122.802896,-0.197104016,0.197104016,
607,4.92,26.99,15.54,7.3,53.83,125,122.5660388,-2.433961244,2.433961244,
608,4.78,24.88,16.17,6.31,53.84,121,121.9421721,0.942172082,0.942172082,
609,3.96,26.72,15.6,7.24,53.87,112,118.5524415,6.552441462,6.552441462,
610,4.91,28.26,15.97,6.43,53.88,123,123.8202741,0.820274106,0.820274106,
611,4.29,29.16,15.08,7.69,53.88,121,120.3976229,-0.602377126,0.602377126,
612,4.65,28.54,14.62,6.98,53.89,122,122.6591607,0.659160712,0.659160712,
613,4.72,24.7,16.44,6.06,53.9,121,121.777254,0.777254031,0.777254031,
614,4.47,27.84,15.6,6.71,53.94,115,121.2754952,6.27549519,6.27549519,
615,5.07,25.31,16.05,6.31,53.94,126,123.5532714,-2.446728563,2.446728563,
616,3.98,21.6,15.09,7.84,53.96,117,118.7687751,1.768775092,1.768775092,
617,4.37,27.18,15.53,6.64,54,122,120.7488685,-1.251131494,1.251131494,
618,4.92,28.67,15.54,6.2,54.01,128,124.3782318,-3.621768154,3.621768154,
619,4.77,26.01,16.13,6.76,54.02,122,121.9443154,-0.055684569,0.055684569,
620,4.82,25.91,15.97,6.63,54.03,122,122.2875167,0.287516713,0.287516713,
621,5.03,28.72,16.21,6.63,54.04,122,124.3604566,2.360456605,2.360456605,
622,4.84,25.24,15.41,5.19,54.05,125,123.8938711,-1.106128897,1.106128897,
623,4.34,19.27,15.36,9.72,54.06,124,119.8352576,-4.164742395,4.164742395,
624,4.85,28.45,15.85,6.35,54.07,122,123.7694046,1.769404628,1.769404628,
625,4.89,26.52,15.99,5.52,54.07,130,123.9614148,-6.038585172,6.038585172,
626,4.46,28.76,15.21,6.59,54.08,123,121.9534001,-1.046599933,1.046599933,
627,4.77,26.58,16.06,6.69,54.08,124,122.2408588,-1.759141194,1.759141194,
628,4.86,28.44,15.7,7.78,54.12,126,122.3106217,-3.689378292,3.689378292,
629,4.91,28.58,15.9,6.51,54.12,121,123.9096261,2.909626078,2.909626078,
630,4.91,28.27,15.71,6.13,54.17,125,124.2670214,-0.732978585,0.732978585,
631,4.7,28.34,15.93,7.12,54.22,122,122.1567205,0.15672047,0.15672047,
632,4.55,28.49,16.49,7.35,54.27,102,121.7184778,19.71847777,19.71847777,
633,4.97,28,15.57,6.2,54.27,125,124.4511605,-0.548839459,0.548839459,
634,4.86,27.01,16.48,6.52,54.28,124,123.321402,-0.678597997,0.678597997,
635,4.58,28.36,16.17,7.2,54.33,125,121.6920214,-3.307978583,3.307978583,
636,4.79,27.19,16.07,6.46,54.48,128,122.9970524,-5.002947587,5.002947587,
637,4.81,28.52,16.23,6.67,54.54,122,123.6267255,1.626725527,1.626725527,
638,4.87,28.71,15.68,7.64,54.55,126,122.5912823,-3.408717657,3.408717657,
