,tsi,stfi,caliper,moisture,basisweight,cull,rct,prediction
83,5.18,25.89,11.77,6.76,42.44,89.5,99.0,99.01289832109252
84,4.73,22.84,13.41,6.67,42.51,89.5,93.0,95.07747982487402
85,5.11,24.5,11.89,6.31,42.53,89.5,99.0,98.40714378342015
86,4.61,18.98,12.69,7.01,42.54,89.5,91.0,93.2879785058764
87,4.66,21.5,13.53,6.32,42.55,89.5,92.0,95.66173737175743
88,4.25,19.07,12.57,7.27,42.56,89.5,87.0,94.10418677169991
89,4.93,25.66,11.75,7.29,42.7,89.5,96.0,96.17035856329909
90,5.21,23.05,11.86,6.34,42.71,89.5,97.0,99.11020918698732
91,4.97,25.08,11.55,7.3,42.77,89.5,94.0,96.21852254006046
92,4.73,25.06,11.67,6.84,42.79,89.5,96.0,94.37781605189494
93,5.09,24.3,12.07,6.44,42.86,89.5,98.0,97.94895794172125
94,5.07,24.01,12.01,6.35,42.92,89.5,99.0,97.83898840261755
95,4.82,24.54,12.19,7.25,42.93,89.5,94.0,95.14726698552698
96,4.69,17.96,13.83,6.34,42.96,89.5,93.0,95.64102479170212
97,4.67,20.88,12.63,6.67,43.05,89.5,93.0,93.98416760668289
98,5.01,24.85,12.36,6.87,43.17,89.5,92.0,96.89720617691555
99,4.82,24.67,11.79,7.35,43.21,89.5,96.0,95.20633180566216
100,5.01,21.9,12.63,6.28,43.24,89.5,98.0,97.33163470910752
101,5.09,24.35,12.02,6.91,43.28,89.5,101.0,97.46347207212612
102,4.84,24.89,11.8,6.77,43.29,89.5,98.0,95.17472386988561
103,4.93,24.74,12.11,6.45,43.31,89.5,99.0,96.59066681614897
104,5.09,23.04,12.14,6.71,43.46,89.5,99.0,97.25434504712663
105,4.91,24.78,12.31,6.77,43.56,89.5,94.0,96.06043811859206
106,4.67,20.61,13.12,6.09,43.93,89.5,94.0,96.47184169766608
107,4.3,20.99,12.98,6.91,44.02,89.5,93.0,94.90493175955962
108,4.98,25.25,12.27,6.93,44.08,89.5,99.0,96.9916208549434
109,4.98,22.93,12.64,6.57,44.16,89.5,101.0,96.78832689952498
110,4.91,25.14,12.61,6.6,44.23,89.5,102.0,96.87505161554694
111,4.88,24.82,12.52,6.97,44.44,89.5,93.0,96.1782760343271
112,4.98,25.48,12.17,6.91,44.61,89.5,102.0,97.23260849586785
113,4.85,32.17,15.26,8.16,45.21,119.5,121.0,120.08637582250358
114,4.94,25.67,13.01,6.31,45.29,89.5,96.0,98.85877197563337
115,4.86,25.05,11.56,6.69,45.83,89.5,99.0,96.21760757561485
116,4.9,23.18,13.5,6.95,45.92,89.5,100.0,97.06037250251384
117,4.55,21.92,13.78,6.43,45.95,89.5,100.0,96.54189407240722
118,5.09,25.26,12.71,6.36,45.96,89.5,105.0,100.11854065467736
119,4.84,31.08,15.55,8.26,45.99,119.5,130.0,120.30526899168683
120,5.15,30.0,14.86,6.41,47.75,119.5,127.0,123.43589061909438
121,5.08,26.56,13.78,6.37,47.88,89.5,110.0,102.28614990282499
122,4.22,26.41,14.32,6.35,47.93,119.5,125.0,117.26225766787378
123,4.88,25.65,14.41,6.44,48.08,89.5,108.0,100.32183750639823
124,4.8,28.89,14.44,6.38,48.29,119.5,124.0,120.19370006646594
125,5.17,27.56,14.04,6.34,48.39,89.5,116.0,104.54688357189347
126,4.29,26.8,15.27,6.09,48.46,119.5,120.0,119.37179295666266
127,4.84,25.98,13.57,6.82,48.54,89.5,107.0,98.84123867509713
128,4.72,28.45,13.75,7.58,48.8,89.5,108.0,100.75570608225294
129,5.18,25.35,14.55,6.6,49.67,89.5,100.0,103.96554660993607
130,4.84,27.0,15.64,6.42,49.77,89.5,117.0,102.95141455968343
131,4.62,25.27,15.84,6.15,50.26,89.5,110.0,102.63576580598456
132,4.88,33.3,15.85,7.93,50.31,119.5,126.0,124.00619388452881
133,5.34,30.32,14.93,5.53,50.77,119.5,122.0,128.35331324976508
134,4.75,26.09,15.82,6.16,50.9,119.5,127.0,122.37237627680494
135,4.77,28.11,15.23,6.42,50.96,119.5,125.0,121.94297378663046
136,5.13,27.63,15.48,5.95,51.0,119.5,120.0,125.74387387702255
137,5.01,28.17,14.46,6.06,51.11,119.5,126.0,123.51618901455461
138,4.86,28.57,14.47,5.95,51.19,119.5,125.0,123.19824974423365
139,5.02,24.95,14.33,5.73,51.2,119.5,131.0,123.00480495768643
140,5.31,27.61,15.05,5.67,51.26,119.5,129.0,127.2577108294754
141,5.22,29.02,14.78,6.35,51.3,119.5,125.0,125.4083221339081
142,5.23,28.91,14.8,5.88,51.31,119.5,134.0,126.39940718774562
143,5.03,26.21,14.51,5.49,51.35,119.5,129.0,124.74488374971233
144,4.93,27.09,14.69,5.63,51.35,119.5,127.0,124.31695857610175
145,4.68,26.34,15.33,5.96,51.35,119.5,121.0,122.40550818511967
146,4.9,26.79,14.43,5.95,51.38,119.5,124.0,122.5820864170463
147,5.01,27.23,14.53,5.83,51.4,119.5,125.0,124.0105007750702
148,4.76,26.68,14.62,5.84,51.4,119.5,125.0,122.41438383885516
149,4.88,28.38,14.06,6.44,51.42,119.5,123.0,121.39896648540103
150,5.08,29.38,15.05,6.08,51.43,119.5,124.0,125.52766813494576
151,5.38,28.55,15.1,5.63,51.44,119.5,130.0,128.30567189888484
152,4.55,26.47,15.55,5.79,51.44,119.5,121.0,122.7335434609893
153,5.09,27.94,14.96,6.0,51.44,119.5,126.0,124.98468157302042
154,4.65,21.32,14.02,6.17,51.46,119.5,117.0,117.72971332012034
155,5.16,29.66,15.21,5.76,51.46,119.5,125.0,127.24025211430262
156,5.26,27.81,14.82,5.81,51.49,119.5,134.0,126.44025347562841
157,5.14,29.25,15.42,5.94,51.49,119.5,134.0,126.76995399857519
158,4.79,18.83,15.42,6.12,51.49,119.5,116.0,118.87967047538287
159,5.37,28.66,15.18,5.87,51.51,119.5,126.0,127.87660174072444
160,4.96,27.85,14.7,5.55,51.52,119.5,125.0,125.17581666276665
161,4.78,18.69,15.63,5.48,51.53,119.5,122.0,121.54497090809605
162,5.12,27.63,15.21,5.59,51.53,119.5,125.0,126.68937297863486
163,5.15,29.45,14.72,5.98,51.54,119.5,127.0,125.8827830200066
164,5.33,26.58,15.24,5.72,51.55,119.5,129.0,127.26376884231038
165,5.15,29.61,14.91,6.52,51.56,119.5,123.0,125.15724679151985
166,4.94,27.37,15.45,6.04,51.56,119.5,124.0,124.36061864608982
167,5.21,30.03,15.35,6.18,51.57,119.5,122.0,126.99440117510066
168,5.32,29.96,14.87,5.5,51.58,119.5,129.0,128.52173719134194
169,4.73,26.87,15.37,5.91,51.59,119.5,127.0,123.26226583342243
170,5.06,29.72,15.3,6.15,51.6,119.5,123.0,125.83134118697933
171,5.24,28.94,14.84,5.97,51.62,119.5,126.0,126.4955496126045
172,4.9,26.95,15.3,6.07,51.63,119.5,125.0,123.62247292821814
173,5.02,27.75,14.64,5.52,51.63,119.5,125.0,125.54756585261538
174,4.98,25.5,14.54,5.83,51.64,119.5,127.0,123.16141360597679
175,5.19,28.92,14.18,6.07,51.64,119.5,133.0,125.06350062089686
176,4.98,28.6,15.46,5.75,51.64,119.5,126.0,126.21024205777746
177,5.01,26.25,14.61,6.01,51.66,119.5,123.0,123.22560723622738
178,4.9,29.38,14.37,6.38,51.67,119.5,127.0,122.79009440546807
179,4.63,26.81,15.43,5.98,51.68,119.5,122.0,122.64024772842404
180,5.06,27.48,14.36,5.4,51.69,119.5,121.0,125.6490072639758
181,5.08,25.63,15.7,5.71,51.69,119.5,124.0,125.97710096987895
182,5.06,30.12,14.26,6.14,51.71,119.5,136.0,124.72808143617196
183,4.94,26.34,14.72,5.74,51.72,119.5,124.0,123.90511916061823
184,5.09,28.02,15.37,6.58,51.72,119.5,127.0,124.36145802816095
185,4.92,28.87,14.72,6.27,51.74,119.5,127.0,123.41970284410807
186,5.34,29.4,15.25,6.08,51.75,119.5,132.0,127.79150183788182
187,5.16,29.78,15.08,6.09,51.76,119.5,128.0,126.46222894217244
188,4.87,25.64,15.41,6.15,51.76,119.5,122.0,122.71598903250484
