grade,label,rct,tsi,stfi,caliper,moisture,basisweight,cull
NL050420,1/13/2017 15:11,94,4.67,20.61,13.12,6.09,43.93,89.5
NL050420,4/5/2017 16:30,93,4.3,20.99,12.98,6.91,44.02,89.5
NL050420,3/9/2017 14:25,99,4.98,25.25,12.27,6.93,44.08,89.5
NL050420,3/31/2017 7:05,101,4.98,22.93,12.64,6.57,44.16,89.5
NL050420,2/17/2017 22:15,102,4.91,25.14,12.61,6.6,44.23,89.5
NL050420,2/18/2017 2:11,93,4.88,24.82,12.52,6.97,44.44,89.5
NL050420,2/5/2017 18:55,102,4.98,25.48,12.17,6.91,44.61,89.5
NL050550,2/5/2017 2:07,121,4.85,32.17,15.26,8.16,45.21,119.5
NL050420,2/17/2017 20:21,96,4.94,25.67,13.01,6.31,45.29,89.5
NL050420,3/9/2017 17:50,99,4.86,25.05,11.56,6.69,45.83,89.5
NL050420,4/8/2017 10:40,100,4.9,23.18,13.5,6.95,45.92,89.5
NL050420,4/5/2017 18:53,100,4.55,21.92,13.78,6.43,45.95,89.5
NL050420,2/12/2017 10:31,105,5.09,25.26,12.71,6.36,45.96,89.5
NL050550,4/16/2017 5:43,130,4.84,31.08,15.55,8.26,45.99,119.5
NL250550,2/28/2017 6:53,127,5.15,30,14.86,6.41,47.75,119.5
NL050420,3/9/2017 13:48,110,5.08,26.56,13.78,6.37,47.88,89.5
NL250550,1/9/2017 18:00,125,4.22,26.41,14.32,6.35,47.93,119.5
NL050420,1/21/2017 12:02,108,4.88,25.65,14.41,6.44,48.08,89.5
NL250550,2/11/2017 12:29,124,4.8,28.89,14.44,6.38,48.29,119.5
NL050420,3/11/2017 19:18,116,5.17,27.56,14.04,6.34,48.39,89.5
NL250550,1/10/2017 6:39,120,4.29,26.8,15.27,6.09,48.46,119.5
NL050420,2/13/2017 16:36,107,4.84,25.98,13.57,6.82,48.54,89.5
NL050420,3/21/2017 11:52,108,4.72,28.45,13.75,7.58,48.8,89.5
NL050420,2/23/2017 13:17,100,5.18,25.35,14.55,6.6,49.67,89.5
NL050420,4/1/2017 16:58,117,4.84,27,15.64,6.42,49.77,89.5
NL050420,4/5/2017 21:06,110,4.62,25.27,15.84,6.15,50.26,89.5
NL050550,3/7/2017 13:36,126,4.88,33.3,15.85,7.93,50.31,119.5
NL050550,2/26/2017 15:42,122,5.34,30.32,14.93,5.53,50.77,119.5
NL050550,1/13/2017 8:45,127,4.75,26.09,15.82,6.16,50.9,119.5
NL050550,2/4/2017 21:17,125,4.77,28.11,15.23,6.42,50.96,119.5
NL050550,2/21/2017 2:29,120,5.13,27.63,15.48,5.95,51,119.5
