,rct,tsi,stfi,caliper,moisture,basisweight,cull,prediction
3,74.0,-0.8479152748986722,-2.3182560601434847,-2.5369357198850326,-0.4193307229596703,-5.673515236681102,-0.22073719270170833,95.70086576951458
7,73.0,-2.567359076124854,-2.0994808231984354,-2.001164899011283,1.2847471020024777,-3.0425241438836728,-0.22073719270170833,100.5034107798003
8,76.0,-0.7381635429055142,-1.9619649599758326,-2.0830187744225506,0.6432119208402581,-2.1645213824111362,-2.8514079616278054,90.68771524404698
9,71.0,-0.5918279002479668,-2.0682272179205707,-2.0681362516205017,1.445130897293033,-2.12730935242891,-2.8514079616278054,91.40834642075475
10,72.0,-0.4820761682548056,-1.8994577494201041,-2.1090631893261356,1.2446511531798397,-2.125297891348789,-2.8514079616278054,91.42309326232494
11,78.0,-0.18940488293971094,-1.8702877178274306,-2.0792981437220384,0.7634997673081738,-2.119263508108428,-2.8514079616278054,91.16309214716824
12,85.0,-0.07965315094654964,-2.43910333388456,-1.8411777788892605,-0.13865908120119938,-2.0156732624822298,-2.8514079616278054,91.03349728808514
13,86.0,-0.8844991855630615,-1.8161148020124656,-2.265329678747646,2.808393157262753,-1.9714211187195816,-2.8514079616278054,94.6475377991502
14,87.0,-0.04306924028216363,-1.9869678441981236,-2.2839328322502066,0.7434517928968548,-1.9623695438590403,-2.8514079616278054,91.42629627444833
15,88.0,-0.701579632241125,-1.7640254598826919,-2.336021662057377,2.4675775922703234,-1.9603580827789195,-2.8514079616278054,94.05737161480083
16,127.0,-0.5552439895835776,-1.626509596660089,-2.1685932805343304,2.0265221552212953,-1.8939798671349481,-2.8514079616278054,93.88998005414194
17,97.0,-0.5918279002479668,-1.6515124808823807,-2.105342558625624,1.3047950764137983,-1.8487219928322398,-2.8514079616278054,92.90045560254774
18,92.0,-0.6284118109123529,-2.22032809693951,-1.5770129991528974,-0.49952262060494795,-1.8296131125710966,-2.8514079616278054,92.95025377773028
19,77.0,0.030098581046608407,-2.309921765402721,-1.666308135965189,0.8837876137760912,-1.8074870406897727,-2.8514079616278054,92.12667614787145
20,96.0,-0.22598879360409696,-1.4681579965855773,-1.9639585920061615,-0.7000023647181411,-1.7944125436689902,-1.7991396540573665,97.54199717425081
21,88.0,-0.00648532961777761,-1.8306998178088023,-1.5100416465436788,-0.4393786973709893,-1.7018853339834534,-2.8514079616278054,94.19779958439969
22,89.0,-3.04294991476188,-2.032806465272325,-2.0904600358235745,1.3448910252364363,-1.6777478010220097,-0.22073719270170833,105.38215201546944
23,93.0,0.761776794334345,-1.9036248967904859,-1.658866874564165,-3.887630296117925,-1.6375185794196019,-1.7991396540573665,109.24568345911415
24,94.0,1.164199811642601,-1.2264634491034272,-1.8486190402902847,-0.33913882531439266,-1.5993008188973157,-1.7991396540573665,98.90897970120358
25,96.0,-2.018600416159051,-1.984884270512933,-1.4505115553354841,0.5028760999610219,-1.5912549745768336,-2.8514079616278054,94.95765514930403
26,98.0,-1.2137543815425422,-1.5973395650674165,-1.4988797544421426,-1.4016814691143211,-1.5892435134967138,-1.7991396540573665,101.70881007619701
27,97.0,0.249602045032931,-1.5181637650301598,-1.87466345519387,1.5854667181722693,-1.5771747470159918,-2.8514079616278054,95.34203608370446
